usar,otherCatalogNumbers,catalogNumber,institutionCode,collectionCode,individualCount,basisOfRecord,typeStatus,scientificName,kingdom,phylum,class,order,family,genus,specificEpithet,taxonRank,identificationQualifier,scientificNameAuthorship,vernacularName,taxonRemarks,identifiedBy,geodeticDatum,decimalLatitude,decimalLongitude,continent,countryCode,country,stateProvince,waterBody,eventDate,locality,recordedBy,samplingProtocol,associatedSequences,agua
TRUE,,5776,UFAM,CTGA,1,,Other material,"Metynnis cuiaba, Pavanelli, Ota & Petry, 2009",Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Metynnis,cuiaba,species,,"Pavanelli, Ota & Petry, 2009",Pacu,,"Machado, V.",WGS84,-3.01905,-49.73781,South America,BR,Brazil,Pará,Tocantins,2009-11-06,"Tocantins river, rear Baiao cty",Valeria Machado,Malhadeira,,Clear
TRUE,,5777,UFAM,CTGA,1,PreservedSpecimen,Other material,"Metynnis cuiaba, Pavanelli, Ota & Petry, 2009",Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Metynnis,cuiaba,species,,"Pavanelli, Ota & Petry, 2009",Pacu,,"Machado, V.",WGS84,-3.01905,-49.73781,South America,BR,Brazil,Pará,Tocantins,2009-11-06,"Tocantins river, rear Baiao cty",Valeria Machado,Malhadeira,,Clear
TRUE,,5899,UFAM,CTGA,1,,Other material,"Metynnis cuiaba, Pavanelli, Ota & Petry, 2009",Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Metynnis,cuiaba,species,,"Pavanelli, Ota & Petry, 2009",Pacu,,"Machado, V.",WGS84,-3.80822,-49.67135,South America,BR,Brazil,Pará,Tocantins,2009-11-06,"Tocantins river, rear Tucurui cty",Valeria Machado,Malhadeira,,Clear
TRUE,,5900,UFAM,CTGA,1,,Other material,"Metynnis cuiaba, Pavanelli, Ota & Petry, 2009",Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Metynnis,cuiaba,species,,"Pavanelli, Ota & Petry, 2009",Pacu,,"Machado, V.",WGS84,-3.80822,-49.67135,South America,BR,Brazil,Pará,Tocantins,2009-11-06,"Tocantins river, rear Tucurui cty",Valeria Machado,Malhadeira,,Clear
TRUE,,5901,UFAM,CTGA,1,,Other material,"Metynnis cuiaba, Pavanelli, Ota & Petry, 2009",Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Metynnis,cuiaba,species,,"Pavanelli, Ota & Petry, 2009",Pacu,,"Machado, V.",WGS84,-3.80822,-49.67135,South America,BR,Brazil,Pará,Tocantins,2009-11-06,"Tocantins river, rear Tucurui cty",Valeria Machado,Malhadeira,,Clear
FALSE,,5301,UFAM,CTGA,1,,Other material,Mylossoma,Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Mylossoma,,genus,sp.,,Pacu,,"Machado, V.",WGS84,-5.61084,-48.13106,South America,BR,Brazil,Tocantins,Araguaia,2009-09-13,"Araguaia river, near Araguatins city",Valeria Machado,Malhadeira,,Clear
FALSE,,5302,UFAM,CTGA,1,,Other material,Mylossoma,Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Mylossoma,,genus,sp.,,Pacu,,"Machado, V.",WGS84,-5.61084,-48.13106,South America,BR,Brazil,Tocantins,Araguaia,2009-09-13,"Araguaia river, near Araguatins city",Valeria Machado,Malhadeira,,Clear
FALSE,,5305,UFAM,CTGA,1,,Other material,Mylossoma,Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Mylossoma,,genus,sp.,,Pacu,,"Machado, V.",WGS84,-5.61084,-48.13106,South America,BR,Brazil,Tocantins,Araguaia,2009-09-13,"Araguaia river, near Araguatins city",Valeria Machado,Malhadeira,,Clear
TRUE,,2931,UFAM,CTGA,1,,Other material,"Pygocentrus nattereri, Kner, 1858",Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Pygocentrus,nattereri,species,,"Kner, 1858",Piranha caju,,"Zuanon, J.",WGS84,-6.14894,-48.36074,South America,BR,Brazil,Para,Araguaia,2009-09-11,r. Araguaia /Reservatório de AHE-SI/Sat.Isabel/PA,Natasha Verdasca,,,Clear
TRUE,,2932,UFAM,CTGA,1,,Other material,"Pygocentrus nattereri, Kner, 1858",Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Pygocentrus,nattereri,species,,"Kner, 1858",Piranha caju,,"Zuanon, J.",WGS84,-6.14894,-48.36074,South America,BR,Brazil,Para,Araguaia,2009-09-11,r. Araguaia /Reservatório de AHE-SI/Sat.Isabel/PA,Natasha Verdasca,,,Clear
